name,mainCategoryId,query
시내투어,1,category=tour:city_tour
미술관/박물관투어,1,category=tour:museum_tour
랜선투어,1,category=tour:online_tour
오디오투어,1,category=tour:audio_tour
근교투어,1,category=tour:suburban_tour
야경투어,1,category=tour:night_tour
캠퍼스/비지니스/통역,1,category=tour:business_tour
이색투어,1,category=tour:special_tour
자연투어,1,category=tour:nature_tour
맞춤투어,1,category=tour:custom_tour
테마파크,2,category=ticket:theme_park
동물원/아쿠아리움,2,category=ticket:zoo_aquarium
박물관/미술관,2,category=ticket:museum_art
전망대,2,category=ticket:observatory
공연/뮤지컬,2,category=ticket:show_musical
기타/콤보티켓,2,category=ticket:add_combo_ticket
마이리얼호캉스,2,category=ticket:my_real_hotel
스노클링/다이빙,3,category=activity:snorkeling
서핑,3,category=activity:surfing
수상액티비티,3,category=activity:water_activity
크루즈/요트,3,category=activity:cruise_yacht
골프,3,category=activity:golf
실내액티비티,3,category=activity:indoor_activity
아웃도어,3,category=activity:outdoor_activity
이색체험,3,category=activity:special_activity
쿠킹/베이킹,4,category=class:cook_bake_class
가죽/악세사리,4,category=class:leather_accessory_class
수공예,4,category=class:handmade_class
미술/음악/사진,4,category=class:art_music_photo_class
플라워/캔들/향수,4,category=class:flower_candle_perfume_class
건강/뷰티,4,category=class:health_beauty_class
요가/다도/명상,4,category=class:yoga_tea_mind_class
스포츠/아웃도어,4,category=class:sports_outdoor_class
이색클래스,4,category=class:special_class
웨딩/허니문,5,category=snap:wedding_snap
우정/연인/가족,5,category=snap:several_snap
1인촬영,5,category=snap:personal_snap
스튜디오/단체,5,category=snap:group_snap
식사권,6,category=foodie:meal_voucher
밀키트,6,category=foodie:meal_kit
스파/마사지,7,category=spa_healing:spa_massage
뷰티/힐링,7,category=spa_healing:beauty_healing
공항 픽업/샌딩,8,category=transportation:airport_pickup_sending
도시간 이동,8,category=transportation:pickup_sending
짐배송/기타,8,category=transportation:luggage_add_service
유심/와이파이,9,category=rental:usim_wifi
의상렌탈,9,category=rental:costume_rental
촬영용품,9,category=rental:camera_rental
피크닉/캠핑용품,9,category=rental:picnic_camping
